id,uri,prefLabel,altLabel,definition,broader,narrower,isTopConcept
4286197,https://thesaurus.mom.fr/?idc=4286197&idt=th252,Interprétation normalisée,CTL_interpretation_normalisee,"Feld, das es ermöglicht, die Ausgrabungseinheit durch Zuweisung einer präzisen Interpretation zu charakterisieren, wie z. B. ""Pfostenloch"", ""Grube"", ""Mauer"" usw. Die Werte werden aus einer kontrollierten und hierarchisierten Vokabelliste ausgewählt, die aus einem spezifischen Thesaurus stammt. Dies garantiert die Einheitlichkeit der Beschreibungen und erleichtert die Suche, Analyse und den Vergleich der Daten innerhalb der Datenbank. | Field allowing the excavation unit to be characterized by assigning it a precise interpretation, such as ""posthole"", ""pit"", ""wall"", etc. The values are selected from a controlled and hierarchical vocabulary list derived from a specific thesaurus, ensuring the uniformity of descriptions and facilitating the search, analysis, and comparison of data within the database. | Champ permettant de caractériser l'unité de fouille en lui attribuant une interprétation précise, comme « trou de poteau », « fosse », « mur », etc. Les valeurs sont sélectionnées dans une liste de vocabulaire contrôlé et hiérarchisé issue d'un thésaurus spécifique, garantissant l'uniformité des descriptions et facilitant la recherche, l'analyse et la comparaison des données au sein de la base.",Recording Unit (SIARU),"Leveled surface | Außenfläche | Innenfläche | Straßenoberfläche | Road grading | Terrace | Fundamentgraben (für Mauer) | Recovery trench | Leitungsgraben | Fosse | Fosse de fondation | Ditch | Drainage ditch | Ornière | Pfostenloch | Empreinte de poteau | Balkenabdruck | Empreinte indéterminée | Durchgang / Türschwelle | Brunnen | Basin | Cave | Pforte | Galerie de rongeur, racine | Erosionsfläche | Previous test pit / prior excavation | Abtragsgrenze | Indéterminé | Abrissschicht | Besiedlungsschicht | Ausbreitung | Auffüllung | Ditch fill | Poteau en bois (en place) | Calage de poteau | Lower wall plate | Poutre de rempart | Ausfüllung des unteren Schwellenbalkens | Lehmwand | Fondation maçonnée | Gemauertes Mauerwerk | Effondrement de mur | Alignement de blocs | Bloc épars | Empierrement | Arbeitsniveau | Auffüllung des Fundamentgrabens | Recovery trench fill | Bergsturzschuttwall | Blocage interne de rempart | Parement de rempart | Foundation slab | Bodenbelag | Enduit de surface | Einfache Feuerstelle | Canalisation | Hypocaust | Comblement de canalisation | Cremation remains | Bestattung | Befestigte Straße | Bedrock | Altered bedrock | Bodenbildung, Humus | Argile naturelle (altération du substrat) | Alluvial deposit | Colluvial deposit | Cleaning deposit | Maschinendurchgangsablagerung | Dacheinsturz | Brandschicht | Conduit hydraulique maçonné | Gemauerte Stützstruktur | Bâtiment | Complex hearth or furnace | Armature de poutres | Closed context | Autre incluante | Murus gallicus | Autre érosion | Autre dépôt | Autre altération | Autre composite | Creusement | Terre végétale | Comblement | Mur | Filin",False
4287605,https://thesaurus.mom.fr/?idc=4287605&idt=th252,Einheitentyp,CTL_choix_enregistrement,"Die Aufzeichnungseinheit kann stratigraphischer oder nicht-stratigraphischer Natur sein:</p><ul><li>Wenn die Einheit stratigraphisch ist, kann die Erfassung auf der Ebene einer elementaren Einheit oder auf der größeren Ebene einer umfassenden Einheit erfolgen. In diesen Fällen wird die Einheit durch ihre logischen Beziehungen definiert.</li><li>Wenn die Einheit nicht stratigraphisch ist, handelt es sich um eine Unterteilung. In diesem Fall gibt es keine logische Beziehung von Vorher-Nachher.</li></ul> | The recording unit can be either stratigraphic or non-stratigraphic in nature:</p><ul><li>If the unit is stratigraphic, recording can occur at the scale of an elementary unit or at the broader scale of an inclusive unit. In these cases, the unit is defined by its logical relationships.</li><li>If the unit is non-stratigraphic, it is considered a subdivision. In this case, there is no logical relationship of anteriority or posteriority.</li></ul> | <span style=""background-color: rgb(250, 248, 250); color: rgb(20, 58, 30);"">L'unité d'enregistrement peut être de nature stratigraphique ou non :</span></p><ul><li>Si l'unité est stratigraphique, l'enregistrement peut se faire à l'échelle de l'unité élémentaire ou à l'échelle plus large de l'unité incluante. Dans ces cas, l'unité est définie par ses relations logiques.</li><li>Si l'unité n'est pas stratigraphique, il s'agit d'une subdivision. Dans ce cas, il n'y a pas de relation logique d'antéro-postériorité.</li></ul>",Recording Unit (SIARU),Elementareinheit | Inclusive unit | Subdivision | Sondage | Ensemble | Locus | Fait | Tranchée | EA | EAS,False
4287606,https://thesaurus.mom.fr/?idc=4287606&idt=th252,Geomorphic cycle,CTL_cycle_geomorphologique,"Art der Geländeveränderung, die eine stratigraphische Einheit (elementar oder umfassend) als Spur hinterlässt und einer Phase des Erosions-Ablagerungs-Verwitterungs-Prozesses entspricht. | Type of ground modification leaving a trace in the form of a stratigraphic unit—either elementary or inclusive—related to a stage in the erosion-deposition-weathering process. | Type de modification du terrain laissant une trace sous forme d'unité stratigraphique, élémentaire ou incluante, relevant d'une étape du processus érosion-dépôt-altération.",Recording Unit (SIARU),Altération | Composite | Ablagerung | Erosion,False
4287607,https://thesaurus.mom.fr/?idc=4287607&idt=th252,Agent géomorphologique,CTL_agent,"Kräfte, die den geomorphologischen Zyklus aus Erosion, Ablagerung und Verwitterung steuern. | Force(s) underlying the geomorphic cycle of erosion, deposition, and weathering. | Force(s) à l'origine du cycle géomorphologique érosion-dépôt-altération.",Recording Unit (SIARU),Agent anthropique | Agent anthropique et naturel | Agent indéterminé | Agent naturel,False
4287632,https://thesaurus.mom.fr/?idc=4287632&idt=th252,Agent anthropique,LBL_agent_anthropique,"Menschlich bedingte Prozesse, die direkt zur Bildung der betrachteten stratigraphischen Einheit führen. | Human-induced action directly leading to the formation of the stratigraphic unit under consideration. | Action d'origine humaine menant directement à la formation de l'unité stratigraphique considérée.",Agent géomorphologique,Juste un test,False
4287687,https://thesaurus.mom.fr/?idc=4287687&idt=th252,Poutre de rempart,PA13 - Poutre de rempart,"Ein in die innere Struktur einer Wallanlage integriertes Holzstück, das den Zusammenhalt und die Stabilität der aus Blöcken und Erde bestehenden defensiven Konstruktion gewährleistet. Seine Positionierung und Ausrichtung ermöglichen die Identifizierung der Bautechnik und der inneren Organisation des Walls. | A piece of wood integrated into the internal structure of a rampart, ensuring the cohesion and stability of the mass of blocks and earth that make up the defensive work. Its positioning and orientation help identify the construction technique and internal organization of the rampart. | Pièce de bois intégrée à la structure interne d’un rempart qui assure la cohésion et la stabilité de la masse de blocs et de terre constituant l’ouvrage défensif. Son positionnement et son orientation permettent d’identifier la technique de construction et l’organisation interne du rempart.",Interprétation normalisée,Längs-Wallbalken | Poutre de rempart transversale,False
4287725,https://thesaurus.mom.fr/?idc=4287725&idt=th252,Gemauerte Stützstruktur,"X7 - Elément de soutien maçonné (colonne, pilier)","Vertikales Mauerwerkbauwerk, das dazu dient, eine Last zu tragen, wie ein Gewölbe, eine Decke oder ein Dach. Es kann sich um eine Säule, einen Pfeiler oder ein gemauertes Massiv handeln, das teilweise erhalten oder eingestürzt ist, und zeugt von der architektonischen und konstruktiven Gestaltung eines Gebäudes. | Vertical masonry structure used to support a load, such as an arch, floor, or roof. It may take the form of a column, pier, or masonry mass, either partially preserved or collapsed, and reflects the architectural and structural organization of a building. | Elément vertical en maçonnerie servant à soutenir une charge, telle qu’une voûte, un plancher ou une toiture. Il peut s’agir d’une colonne, d’un pilier ou d’un massif maçonné, partiellement conservé ou effondré, et témoigne de l’organisation architecturale et constructive d’un bâtiment.",Interprétation normalisée,Colonne | Pfeiler | Massif,False
T96-603,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-603,édifice artisanal commercial ou tertiaire,édifice privé commercial,"Édifice où s'effectuent des activités d'échange, d'achat et de vente de biens, titres ou services, ou bien des activités artisanales (fabrication, transformation, etc.) ou de stockage.",architecture artisanale commerciale et tertiaire,abattoir | atelier | auberge | banks (financial institutions) | blanchisserie | bakeries | bourse | débit de boissons | entrepôt commercial | forge artisanale | fournil | fromagerie | garage de réparation automobile | hôtel de voyageurs | immeuble de bureaux | dairies | magasin de commerce | brothels | marché | poterie | refuge de montagne | posthouses | restaurant | auction houses | station de péage | service stations,False
T96-98,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-98,casa religiosa,monastère,Établissement d'une communauté religieuse d'hommes ou de femmes.,christian + religious buildings,beghinaggio | commanderie | convento | eremo | prieuré | abbaye,False
T96-507,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-507,édifice domestique,édifice d'habitation,Construction ou groupe de constructions lié au logement et aux activités domestiques.,architecture domestique,abri | demeure,False
T96-387,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-387,observatoire,observatoire astronomique,"Établissement de recherche abritant les services et l’instrumentation nécessaires aux observations, mesures et analyses en astronomie (astrométrie, astrophysique, etc.) et/ou en géophysique (météorologie, géomagnétisme, sismologie, etc.).",institut de recherche,abri d'instrument équatorial | abri d'instrument méridien | marégraphe | station de sismologie | meteorological stations,False
T96-1004,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1004,aérodrome,terrain d'aviation,Plate-forme aménagée pour l'accueil d'aéronefs et pour la pratique de l'aviation sous toutes ses formes.,ensemble du génie civil,aéroport | hydrobase,False
T96-5,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-5,agglomération,ensemble urbain | habitat,"Pour une ville débordant les limites communales, préférer le terme d'agglomération à celui de ville. | Groupement de bâtiments pérennes ou éphémères présentant entre eux peu ou pas de discontinuité, pouvant être accompagnés d'autres aménagements de l'espace, de fonctions diverses ou non.",planning,health resorts | resorts | spa | village | cities + towns | borgo | conurbation | écart | lake dwelings,False
T96-16,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-16,cities + towns,civitas,"agglomération de plus de 2000 habitants, aux fonctions diversifiées (administration, économie, transports, culture, éducation, logement, etc.), en majorité non agricoles. La ville n’est formée que d’une commune.",agglomération,new town | satellite towns,False
T96-924,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-924,parties industrielles,partie d'édifice industriel,Partie d’un édifice industriel ou d’une construction qui lui est associée.,architecture industrielle,aire de concassage | aire de fabrication | aire de lavage | aire de séchage | aire de stockage du combustible | aire de triage | aire des déchets | aire des matières premières | aire des produits manufacturés | atelier de conditionnement | atelier de fabrication | atelier de réparation | bassin de décantation | bassin de retenue | bâtiment administratif d'entreprise | bâtiment d'eau | bâtiment de la machine d'extraction | bâtiment de recette | bâtiment de la soufflerie | bureau d'études | cale de construction | chai | chambre froide | chaufferie | cheminée d'usine | chevalement | cokerie | derrick | entrepôt industriel | établissement administratif d'entreprise | excavation | four industriel | galerie maçonnée | local du comité d'entreprise | logement de contremaître | logement d'ouvriers | logement patronal | magasin industriel | pièce de séchage | pièce de stockage du combustible | poste de chargement | puits d'aérage | puits d'extraction | puits de service | puits de sondage | réservoir industriel | salle des machines | terril | tour de réfrigération | transporteur automatique par câbles,False
T96-1186,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1186,allée,allée de jardin,"voie de communication aménagée à l'intérieur des limites d'un parc ou d'un jardin, dont la largeur est en principe supérieure à deux mètres. Elle peut être régulière ou irrégulière. La contre-allée double une allée plus grande, dont elle n'est séparée que par des rangées d'arbre, une plate-bande, etc.",clôture et circulation de jardin,allée couverte de jardin | mail | passe-pied,False
T96-198,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-198,édifice de l'administration ou de la vie publique,édifice public,Construction ou groupe de constructions abritant des activités administratives ou relevant de la vie publique.,architecture civile publique,ambassade | beffroi | caserne de pompiers | entrepôt public | administration buildings | hôtel de département | hôtel de région | mairie | porte monumentale | bureau de poste | siège d'association ou d'organisation,False
